publisher,book_summary,isbn,subcategory,title,country,price,writer,book_image_path,maincategory,publish_date,evaluation,categoryid
에이도스,"‘타고난 이야기꾼’, ‘과학적 내용을 쉽게 풀어내는 마법사 같은 존재’라는 평가를 받는 지은이는 이 책에서 꽃과 벌 그리고 인간, 이 세 주체가 어떻게 강력한 공진화적 소용돌이를 이루며 진화의 춤과 생명의 드라마를 써왔는지를 추적한다.",K132739438,기초과학/교양과학,"벌의 사생활 - 벌, 꽃, 인간이 만든 경이로운 생명의 드라마",국내도서,20000,"소어 핸슨 (지은이), 하윤숙 (옮긴이)",https://image.aladin.co.kr/product/26653/57/cover/k132739438_1.jpg,과학,2021-03-13,6,51002
한국경제신문,"생물의 정의, 식물과 동물의 차이, 세포의 구조, 유전의 원리, 최초의 생물이 진화하여 인간에 이른 역사까지 다룬다. 귀여운 야옹 군과 친절한 박사님이 보여주는 풍성한 그림 자료를 통해 기초 원리들을 재미있게 배우다 보면 앞의 질문들에 자연스레 답할 수 있게 된다.",894754695X,기초과학/교양과학,"처음부터 생명과학이 이렇게 쉬웠다면",국내도서,15000,"사마키 다케오, 사마키 에미코 (지은이), 이정현 (옮긴이), 박재근 (감수)",https://image.aladin.co.kr/product/26799/51/cover/894754695x_1.jpg,과학,2021-03-26,0,51002
열린책들,"창조성이 우리 뇌의 본질적인 특성이라는 점을 강조하며 뇌와 환경이 어떻게 서로 영향을 주고받는지를 보여준다. 예술가들의 창조력과 정신의학적 질병과의 관계, 미술과 음악의 치유 효과와 관련된 다양한 일화는 물론, 동성애와 뇌의 관계 등 논쟁적인 이슈까지 망라한다.",8932920966,뇌과학,"세계를 창조하는 뇌 뇌를 창조하는 세계 - 뇌과학으로 인간과 세상을 읽는 방법",국내도서,45000,"디크 스왑 (지은이), 전대호 (옮긴이), 김영보 (감수)",https://image.aladin.co.kr/product/26844/73/cover/8932920966_1.jpg,과학,2021-04-10,0,51194
클,"우리는 모두 수와 수학의 원리에 둘러싸여 살고 있다. 하지만 어디에 어떤 원리가 녹아 있고, 어떻게 활용되는지를 깨닫고 제대로 이해하는 경우는 많지 않다. 이 책은 잘 안다고 믿었던 세계에 대한 우리의 인식을 바꾼다.",K332730393,수학,"잘 안다고 믿는 것을 다르게 보는 법, 수학 - 슈퍼마켓에서 블랙홀까지",국내도서,19000,"미카엘 로네 (지은이), 김아애 (옮긴이)",https://image.aladin.co.kr/product/26839/68/cover/k332730393_1.jpg,과학,2021-03-31,0,51334
까치,"생물학을 알고자 하는 모든 사람들을 위한 입문서로, 생물의 정의에서부터 진화론과 관련된 오해와 진실, 불로불사의 줄기 세포의 개발 등 최근의 발견까지를 가로지르며 생물학이 가진 “아름다움”을 펼쳐 보인다.",8972917346,생명과학,"모두를 위한 생물학 강의 - 우리를 둘러싼 아름답고 위대한 세계",국내도서,15000,"사라시나 이사오 (지은이), 이진원 (옮긴이)",https://image.aladin.co.kr/product/25967/83/cover/8972917346_1.jpg,과학,2021-04-02,0,51208
더퀘스트,"오늘날의 과알못을 위한 교양 코믹툰. 책에 담긴 열일곱 꼭지에는 상대성이론, 파동, 엔트로피, 전자기법칙, 우주/블랙홀, 인공지능처럼 현대인이라면 조금은 알고 있어야 할 개념들을 포함해 온도, 호흡, 혈액, 광합성, 감각, 에너지처럼 일상적 경험과 밀접한 과학적 소재들이 담겨 있다.",K842738938,기초과학/교양과학,"어쩌다 과학 - 과알못도 웃으며 이해하는 잡학다식 과학 이야기",국내도서,17500,"지이, 태복 (지은이), 이강영 (감수)",https://image.aladin.co.kr/product/26553/36/cover/k842738938_1.jpg,과학,2021-03-05,10,51002
군자출판사(교재),"의사가 해주는 의료 이야기를 아주 솔직하게 담아내고 있는 의료 에세이다. 같은 내용으로 의료세계에 대하여 사람들이 궁금해했던 것들을 인간적이고 솔직하게 얘기해줌으로써 병원에 갈 때마다 왠지 모르게 불안함을 느꼈던 사람들이 읽고 안심을 느낄 수 있을 것이다.",K352730786,건강정보,"의사가 들려주고픈 병원의 진짜 이야기",국내도서,12000,"이치하라 신 (지은이), 정나영, 정준양, 이지민 (옮긴이)",https://image.aladin.co.kr/product/26673/90/cover/k352730786_1.jpg,건강/취미/레저,2021-03-10,8,53562
김영사,"혼돈의 세계에서 규칙을 발견하는 데이터과학의 모든 것. 데이터과학자가 알려주는 불확실성을 이해하고 대비하는 사고법. 세계를 움직이는 법칙이자 본질인 통계와 확률을 어떻게 이해하고 이를 바탕으로 미래를 대비해야 하는지 알려준다.",8934986824,기초과학/교양과학,"데이터과학자의 사고법 - 더 나은 선택을 위한 통계학적 통찰의 힘",국내도서,16800,"김용대 (지은이)",https://image.aladin.co.kr/product/26602/52/cover/8934986824_1.jpg,과학,2021-02-26,9,51002
읻다,"읻다의 '척도와 구성' 시리즈 첫 번째 책. 중국의학사를 연구한 레이샹린의 저작인 이 책은 20세기 초반 중국의학의 역사를 살핌으로써 중국의학 고유의 근대성, 더 나아가 중국 고유의 근대성이 형성되는 과정을 탐구한다.",K472738891,중국사,"비려비마 - 중국의 근대성과 의학",국내도서,20000,"레이샹린 (지은이), 박승만, 김찬현, 오윤근 (옮긴이)",https://image.aladin.co.kr/product/26305/8/cover/k472738891_1.jpg,역사,2021-02-05,0,1961
김영사,"“모든 물질은 양자 물질이다. 우리 몸과 빛조차도!” 현대물리학의 가장 큰 분야, 응집물질물리학을 소개하는 최초의 교양서다. 탁월한 스토리텔링과 비유로 이해하는 양자 물질의 역사를 담았다.",8934920106,기초과학/교양과학,"물질의 물리학 - 고대 그리스의 4원소설에서 양자과학 시대 위상물질까지",국내도서,15800,"한정훈 (지은이)",https://image.aladin.co.kr/product/25235/26/cover/8934920106_1.jpg,과학,2020-09-25,9,51002
메디치미디어,"NASA 수석작가의 과학적이고도 유쾌한 우주여행 안내서. 우주 개발의 과학적 가능성과 경제적 가치에 대한 질문들에 꼼꼼하게 답을 들려준다. 우주와 외행성에서의 생존 가능성을 다룬 책은 많다. 하지만 안전한 지구를 벗어났을 때 실제로 겪게 될 문제를 깊이 탐구한 책은 거의 없다.",K682738924,기초과학/교양과학,"스페이스 러시 - 우주여행이 자살여행이 되지 않기 위한 안내서",국내도서,25000,"크리스토퍼 완제크 (지은이), 고현석 (옮긴이)",https://image.aladin.co.kr/product/26330/61/cover/k682738924_1.jpg,과학,2021-02-15,10,51002
21세기북스,"세계 최고의 고생물학 전문가들이 들려주는 지구 생명 진화 이야기. 아주 작은 세균부터 무시무시한 티라노사우루스 렉스에 이르기까지 한 권의 책으로 지구 생명의 역사를 한눈에 읽을 수 있다. 무엇보다 가장 놀라운 점은 500종이 넘는 미생물과 균류, 식물과 동물을 일목요연하게 정리한 뛰어난 목록이다.",8950926059,생명과학,"선사시대 - DK 비주얼로 보는 생명의 역사",국내도서,70000,"더글러스 파머 (지은이), 이주혜 (옮긴이)",https://image.aladin.co.kr/product/846/81/cover/8950926059_2.jpg,과학,2011-02-15,9,51205
궁리,"우주사를 뒤바꾼 여덟 가지 극적인 변화의 순간. 과학 다큐멘터리 프로듀서이자 베스트셀러 작가로 명성을 쌓아온 저자 제임스 버크는 역사에는 변화의 순간들이 있었고, 그 변화의 순간들을 만들어낸 것은 지식이었다고 말한다.",8958201991,"테마로 보는 역사","우주가 바뀌던 날 그들은 무엇을 했나 - 개정판",국내도서,30000,"제임스 버크 (지은이), 장석봉 (옮긴이)",https://image.aladin.co.kr/product/816/87/cover/8958201991_1.jpg,역사,2010-11-16,9,2032
서울대학교출판문화원,"한국, 중국, 일본, 태국, 에티오피아 등 다양한 현장에서 아시아의 의료 체계 및 의료 실천 양상에 관한 민족지적 사례들을 수집하고 분석함으로써 아시아의 근대성을 고찰하는 책. 각각의 특수한 지역적 맥락 속에서 아시아의 근대성이 어떻게 경험되고 재현되는가를 살펴보는 데 초점을 맞추었다.",8952118928,의학,"의료, 아시아의 근대성을 읽는 창",국내도서,25000,"이현정, 김태우 (지은이)",https://image.aladin.co.kr/product/10975/17/cover/8952118928_1.jpg,과학,2017-05-17,0,51272
서울대학교출판문화원,,8952114523,"과학의 이해","과학고전선집 - 코페르니쿠스에서 뉴턴까지",국내도서,20000,"홍성욱 (지은이)",https://image.aladin.co.kr/product/2535/10/cover/8952114523_1.jpg,과학,2013-03-30,6,51160
키라북스,"
식물은 거대한 자연계에서 살아남기 위해 온 힘을 다해 발버둥치고 있다. 작은 풀이 꿋꿋하게 살아가는 모습을 함께 살펴보며, 하루가 다르게 변화하는 불확실한 시대를 살아가는 해법의 실마리를 찾아보고자 한다.",K892738025,기초과학/교양과학,"식물학 수업 - 불확실한 시대를 살아가는 잡초의 전략",국내도서,14500,"이나가키 히데히로 (지은이), 장은정 (옮긴이)",https://image.aladin.co.kr/product/26354/18/cover/k892738025_1.jpg,과학,2021-02-20,0,51002
쌤앤파커스,"인류를 더 똑똑하게 만든 것은 개인의 지성보다 바로 인류의 집단적 문화였다. 빈스는 지구의 지배자로 올라선 인간의 빅 히스토리를 진화를 다룬 기존의 관점에서 벗어나 불, 언어, 미, 시간의 4가지 위대한 ‘문화적 발견’을 통해 살펴본다.",K652736535,생명과학,"초월 - 모든 종을 뛰어넘어 정점에 선 존재, 인간",국내도서,22000,"가이아 빈스 (지은이), 우진하 (옮긴이)",https://image.aladin.co.kr/product/25843/45/cover/k652736535_1.jpg,과학,2021-01-06,10,51199
생각의길,"저자는 과학에 관한 대중의 이해와 지적 사고능력을 높일 수 있는 콘텐츠를 업로드하고 있다. 익살스러운 문체, 웃음을 자아내는 그림과 함께 이해하기 어려운 양자물리학 지식을 연재하면서 누적 조회수 3000만 회 이상을 달성했고 이를 책으로 펴냈다.",8965136407,물리학,"문과 출신도 웃으면서 보는 양자물리학 만화",국내도서,18000,"뤄진하이 (지은이), 박주은 (옮긴이), 장쉔중 (감수)",https://image.aladin.co.kr/product/26785/46/cover/8965136407_1.jpg,과학,2021-04-15,0,51296
요다,"SF 속 상상을 과학 이론으로 분석한 책. 하늘을 나는 슈퍼 히어로, 투명 인간, 공룡의 부활 등 그저 꿈같은 이야기부터 얼어붙은 지구, 핵전쟁, 인공 지능의 반란 등 다소 무거우면서도 현실성 있는 주제까지, 이것에 얽힌 과학 원리를 쉽고 재미있게 이해하도록 구성했다.",K492633218,기초과학/교양과학,"SF 유니버스를 여행하는 과학 이야기 - ‘쥬라기 월드’ 공룡부터 ‘부산행’ 좀비까지 상상은 현실이 될 수 있을까?",국내도서,16000,"전홍식 (지은이)",https://image.aladin.co.kr/product/25418/41/cover/k492633218_1.jpg,과학,2020-10-29,9,51002
그린비,"크리티컬 컬렉션 4권. 과학적 진보와 지식의 본질에 대한 광범위한 이론을 다룬 책이다. 파이어아벤트는 이 책을 통해 과학적 진보란 단일주의적인 방법론에 의해서가 아니라 사실과 이론 간의 충돌, 즉 역사적 맥락에서만 이해될 수 있다고 주장한다.",8976825977,서양철학,"방법에 반대한다",국내도서,29000,"파울 파이어아벤트 (지은이), 정병훈 (옮긴이)",https://image.aladin.co.kr/product/22161/26/cover/8976825977_1.jpg,인문학,2019-12-10,8,51447
푸른숲,"명왕성 탐사를 계획하며 탐사선 뉴호라이즌스 호를 전두지휘한 수석연구자 앨런 스턴과 행성학자이자 과학저술가인 데이비드 그린스푼은 방대한 기록과 기억을 정리해 ‘아직 탐사되지 않은 명왕성’에 도달하기 위해 고군분투했던 우주 과학자들의 집념과 호기심이 들끓는 생생한 현장으로 초대한다.",K052633306,천문학,"뉴호라이즌스, 새로운 지평을 향한 여정 - 명왕성을 처음으로 탐사한 사람들의 이야기",국내도서,25000,"앨런 스턴, 데이비드 그린스푼 (지은이), 김승욱 (옮긴이), 황정아 (해제)",https://image.aladin.co.kr/product/25306/57/cover/k052633306_1.jpg,과학,2020-10-13,9,51310
Mid(엠아이디),"현대 물리학과 우주과학의 최신 이론과 연구 동향을 집대성한 과학 교양서다. 이 책은 복잡한 수식을 배제하고, 일반인들도 쉽게 이해할 수 있는 문장으로 누구나가 우주와 물질의 근원을 찾아 나설 수 있도록 안내한다.",K802738482,기초과학/교양과학,"과학 오디세이 : 유니버스 - 우주.물질 그리고 시공간",국내도서,22000,"안중호 (지은이)",https://image.aladin.co.kr/product/26253/72/cover/k802738482_3.jpg,과학,2021-01-28,10,51002
나무와문화(나무와문화연구소),"우리 주변에서 볼 수 있는 266종의 나뭇잎을 4단계로 분류하여 모르는 나뭇잎일지라도 이 단계에 따라 분류해보면 나무의 이름을 쉽게 알 수 있다. 나뭇잎을 특허 제10-1395210(스캐너를 이용하여 나뭇잎 등의 자연물을 스캔하는 방법)에 의해 고해상도의 이미지를 얻었다.",8996566624,"동물과 식물","나뭇잎 도감 - 4단계 분류법에 따라 나뭇잎을 구별한다, 개정판",국내도서,30000,"이광만, 소경자 (지은이)",https://image.aladin.co.kr/product/2927/41/cover/8996566624_2.jpg,과학,2017-10-25,8,51279
이지북,"태평성대를 누리던 수리덤 왕국이라는 가상의 나라에서 마티 왕, 놀리스 교수, 마법사 헤아리스와 왕궁기록원인 ‘내’가 우연히 발견한『확률과 통계』라는 책 속으로 빨려 들어가 여러 가지 신기한 경험을 하면서 확률과 통계에 관한 책을 완성하는 과정을 다루고 있다.",8957078894,수학,"이야기로 읽는 확률과 통계 - 4차산업혁명시대를 끌어갈 빅 트렌드, 빅데이터 분석의 기초",국내도서,35000,"정완상 (지은이), 황기홍 (그림)",https://image.aladin.co.kr/product/26330/47/cover/8957078894_1.jpg,과학,2021-02-09,0,51324
시그마북스,"방사선과 슬기롭게 살아가는 데 필요한 기초 지식을 담은 책이다. 일상생활 속에서 방사선에 대해 한 번쯤 들었던 궁금증을 쉽고 친절하게 해소해준다. 방사선에 대한 의문점을 소주제로 삼아 주제 하나하나를 개별적으로 이해할 수 있게 구성했기 때문에 어떤 부분부터 읽어도 무방하다.",K152739337,물리학,"머릿속에 쏙쏙! 방사선 노트",국내도서,18000,"고다마 가즈야 (지은이), 김정환 (옮긴이)",https://image.aladin.co.kr/product/26652/56/cover/k152739337_1.jpg,과학,2021-03-19,0,51301
바다출판사,"창조론과 지적 설계론에 대한 고발서다. 진정한 과학 정신의 승리를 외치며, 다윈주의를 지키는 것이야말로 과학을 지키는 것이고, 생명의 장엄함을 드러내는 것이라고 말한다. 우리는 다윈의 시대에 살고 있다. 다윈의 자연선택 이론은 다윈 혁명을 불러왔으며, 그 혁명은 과학과 문화에 엄청난 변화를 불러왔다.",8955614446,생명과학,"왜 다윈이 중요한가 - 진화하는 창조론자들에 맞서는 다윈주의자들의 반격",국내도서,15000,"마이클 셔머 (지은이), 류운 (옮긴이)",https://image.aladin.co.kr/product/247/86/cover/8955614446_1.jpg,과학,2008-08-22,8,51199
사계절,"우리의 삶과 무관한 것으로 과학을 오해하고 흥미를 잃어버린 청소년들을 위해 과학의 여덟 가지 핵심 주제를 친근한 이야기로 풀어썼다. 과학이 실험과 탐구를 거듭하여 오늘날에 이르기까지의 이야기를 들려준다.",K572636321,"청소년 수학/과학","통합하고 통찰하는 통통한 과학책 1",국내도서,14500,"정인경 (지은이)",https://image.aladin.co.kr/product/22379/74/cover/k572636321_1.jpg,청소년,2020-01-06,9,1143
